timestamp,node,latency,action,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1605105653267184128,10.0.1.131,2020,,0.000,0.000,0.000,0.000,0.000,0.000
1605105655939958016,10.0.1.131,690,move_down,-0.020,-0.020,-0.020,0.000,0.000,0.000
1605105657414061056,10.0.1.131,416,move_down,-0.040,-0.040,-0.040,0.000,0.000,0.000
1605105658892622848,10.0.1.131,414,move_down,-0.060,-0.060,-0.060,0.000,0.000,0.000
1605105660358743808,10.0.1.131,421,move_down,-0.080,-0.080,-0.080,0.000,0.000,0.000
1605105661788039936,10.0.1.131,397,move_down,-0.100,-0.100,-0.100,0.000,0.000,0.000
1605105663246280960,10.0.1.131,402,move_down,-0.120,-0.120,-0.120,0.000,0.000,0.000
1605105664764511232,10.0.1.131,436,move_down,-0.140,-0.140,-0.140,0.000,0.000,0.000
1605105666240185856,10.0.1.131,402,move_down,-0.160,-0.160,-0.160,0.000,0.000,0.000
1605105667722411008,10.0.1.131,431,move_down,-0.180,-0.180,-0.180,0.000,0.000,0.000
1605105669198235136,10.0.1.131,429,move_down,-0.200,-0.200,-0.200,0.000,0.000,0.000
1605105670711606016,10.0.1.131,424,move_down,-0.220,-0.220,-0.220,0.000,0.000,0.000
1605105672188070912,10.0.1.131,434,move_down,-0.240,-0.240,-0.240,0.000,0.000,0.000
1605105673703453952,10.0.1.131,427,move_down,-0.260,-0.260,-0.260,0.000,0.000,0.000
1605105675182131968,10.0.1.131,425,move_down,-0.280,-0.280,-0.280,0.000,0.000,0.000
1605105676614846976,10.0.1.131,417,move_down,-0.300,-0.300,-0.300,0.000,0.000,0.000
1605105678087734016,10.0.1.131,421,move_down,-0.320,-0.320,-0.320,0.000,0.000,0.000
1605105679584737024,10.0.1.131,398,move_down,-0.340,-0.340,-0.340,0.000,0.000,0.000
1605105681088046080,10.0.1.131,429,move_down,-0.360,-0.360,-0.360,0.000,0.000,0.000
1605105682558458112,10.0.1.131,401,move_down,-0.380,-0.380,-0.380,0.000,0.000,0.000
1605105683980859904,10.0.1.131,396,move_down,-0.400,-0.400,-0.400,0.000,0.000,0.000
1605105685428421120,10.0.1.131,423,move_down,-0.420,-0.420,-0.420,0.000,0.000,0.000
1605105686948396032,10.0.1.131,427,move_down,-0.440,-0.440,-0.440,0.000,0.000,0.000
1605105688434097152,10.0.1.131,410,move_down,-0.460,-0.460,-0.460,0.000,0.000,0.000
1605105689941255168,10.0.1.131,438,move_down,-0.480,-0.480,-0.480,0.000,0.000,0.000
1605105691468135168,10.0.1.131,431,move_down,-0.500,-0.500,-0.500,0.000,0.000,0.000
1605105692948491008,10.0.1.131,414,move_down,-0.520,-0.520,-0.520,0.000,0.000,0.000
1605105694438214144,10.0.1.131,422,move_down,-0.540,-0.540,-0.540,0.000,0.000,0.000
1605105695878146048,10.0.1.131,403,move_down,-0.560,-0.560,-0.560,0.000,0.000,0.000
1605105697389689856,10.0.1.131,430,move_down,-0.580,-0.580,-0.580,0.000,0.000,0.000
1605105698530228992,10.0.1.131,33,pick,-0.590,-0.590,-0.590,0.000,0.000,0.000
1605105699549979904,10.0.1.131,52,pick,-0.600,-0.600,-0.600,0.000,0.000,0.000
1605105700555663104,10.0.1.131,55,pick,-0.610,-0.610,-0.610,0.000,0.000,0.000
1605105701548745984,10.0.1.131,47,pick,-0.620,-0.620,-0.620,0.000,0.000,0.000
1605105702543024896,10.0.1.131,36,pick,-0.630,-0.630,-0.630,0.000,0.000,0.000
1605105703548506880,10.0.1.131,41,pick,-0.640,-0.640,-0.640,0.000,0.000,0.000
1605105704568957184,10.0.1.131,60,pick,-0.650,-0.650,-0.650,0.000,0.000,0.000
1605105705548273152,10.0.1.131,38,pick,-0.660,-0.660,-0.660,0.000,0.000,0.000
1605105706550195968,10.0.1.131,38,pick,-0.670,-0.670,-0.670,0.000,0.000,0.000
1605105707548788992,10.0.1.131,35,pick,-0.680,-0.680,-0.680,0.000,0.000,0.000
1605105708569856000,10.0.1.131,55,pick,-0.690,-0.690,-0.690,0.000,0.000,0.000
1605105709549135872,10.0.1.131,33,pick,-0.700,-0.700,-0.700,0.000,0.000,0.000
1605105710568641792,10.0.1.131,51,pick,-0.710,-0.710,-0.710,0.000,0.000,0.000
1605105711549037056,10.0.1.131,30,pick,-0.720,-0.720,-0.720,0.000,0.000,0.000
1605105712569423872,10.0.1.131,50,pick,-0.730,-0.730,-0.730,0.000,0.000,0.000
1605105713572290816,10.0.1.131,50,pick,-0.740,-0.740,-0.740,0.000,0.000,0.000
1605105714568742912,10.0.1.131,45,pick,-0.750,-0.750,-0.750,0.000,0.000,0.000
1605105715570915072,10.0.1.131,44,pick,-0.760,-0.760,-0.760,0.000,0.000,0.000
1605105716570589184,10.0.1.131,42,pick,-0.770,-0.770,-0.770,0.000,0.000,0.000
1605105717930035968,10.0.1.131,401,move_up,-0.750,-0.750,-0.750,0.000,0.000,0.000
1605105719409431808,10.0.1.131,391,move_up,-0.730,-0.730,-0.730,0.000,0.000,0.000
1605105720971895808,10.0.1.131,481,move_up,-0.710,-0.710,-0.710,0.000,0.000,0.000
1605105722421506816,10.0.1.131,421,move_up,-0.690,-0.690,-0.690,0.000,0.000,0.000
1605105723899816960,10.0.1.131,404,move_up,-0.670,-0.670,-0.670,0.000,0.000,0.000
1605105725398886912,10.0.1.131,423,move_up,-0.650,-0.650,-0.650,0.000,0.000,0.000
1605105726869796864,10.0.1.131,377,move_up,-0.630,-0.630,-0.630,0.000,0.000,0.000
1605105728280004864,10.0.1.131,408,move_up,-0.610,-0.610,-0.610,0.000,0.000,0.000
1605105729771106048,10.0.1.131,405,move_up,-0.590,-0.590,-0.590,0.000,0.000,0.000
1605105731301315072,10.0.1.131,485,move_up,-0.570,-0.570,-0.570,0.000,0.000,0.000
1605105732785728000,10.0.1.131,424,move_up,-0.550,-0.550,-0.550,0.000,0.000,0.000
1605105734376118784,10.0.1.131,490,move_up,-0.530,-0.530,-0.530,0.000,0.000,0.000
1605105735833462016,10.0.1.131,414,move_up,-0.510,-0.510,-0.510,0.000,0.000,0.000
1605105737371238912,10.0.1.131,432,move_up,-0.490,-0.490,-0.490,0.000,0.000,0.000
1605105738865398016,10.0.1.131,463,move_up,-0.470,-0.470,-0.470,0.000,0.000,0.000
1605105740415808000,10.0.1.131,502,move_up,-0.450,-0.450,-0.450,0.000,0.000,0.000
1605105741945022976,10.0.1.131,460,move_up,-0.430,-0.430,-0.430,0.000,0.000,0.000
1605105743461129984,10.0.1.131,447,move_up,-0.410,-0.410,-0.410,0.000,0.000,0.000
1605105744983753984,10.0.1.131,438,move_up,-0.390,-0.390,-0.390,0.000,0.000,0.000
1605105746485160960,10.0.1.131,439,move_up,-0.370,-0.370,-0.370,0.000,0.000,0.000
1605105747973020928,10.0.1.131,428,move_up,-0.350,-0.350,-0.350,0.000,0.000,0.000
1605105749440047104,10.0.1.131,433,move_up,-0.330,-0.330,-0.330,0.000,0.000,0.000
1605105751018860032,10.0.1.131,482,move_up,-0.310,-0.310,-0.310,0.000,0.000,0.000
1605105752449761024,10.0.1.131,415,move_up,-0.290,-0.290,-0.290,0.000,0.000,0.000
1605105753932758016,10.0.1.131,413,move_up,-0.270,-0.270,-0.270,0.000,0.000,0.000
1605105755411086080,10.0.1.131,407,move_up,-0.250,-0.250,-0.250,0.000,0.000,0.000
1605105756866217984,10.0.1.131,386,move_up,-0.230,-0.230,-0.230,0.000,0.000,0.000
1605105758315276032,10.0.1.131,383,move_up,-0.210,-0.210,-0.210,0.000,0.000,0.000
1605105759799386880,10.0.1.131,419,move_up,-0.190,-0.190,-0.190,0.000,0.000,0.000
1605105760919856128,10.0.1.131,39,place,-0.180,-0.180,-0.180,0.000,0.000,0.000
1605105761943831040,10.0.1.131,62,place,-0.170,-0.170,-0.170,0.000,0.000,0.000
1605105762921541888,10.0.1.131,37,place,-0.160,-0.160,-0.160,0.000,0.000,0.000
1605105763924721920,10.0.1.131,38,place,-0.150,-0.150,-0.150,0.000,0.000,0.000
1605105764947174144,10.0.1.131,60,place,-0.140,-0.140,-0.140,0.000,0.000,0.000
1605105765944360960,10.0.1.131,55,place,-0.130,-0.130,-0.130,0.000,0.000,0.000
1605105766946821888,10.0.1.131,56,place,-0.120,-0.120,-0.120,0.000,0.000,0.000
1605105767937693184,10.0.1.131,46,place,-0.110,-0.110,-0.110,0.000,0.000,0.000
1605105768939009792,10.0.1.131,46,place,-0.100,-0.100,-0.100,0.000,0.000,0.000
1605105769947766016,10.0.1.131,54,place,-0.090,-0.090,-0.090,0.000,0.000,0.000
1605105770947069952,10.0.1.131,52,place,-0.080,-0.080,-0.080,0.000,0.000,0.000
1605105771940645888,10.0.1.131,45,place,-0.070,-0.070,-0.070,0.000,0.000,0.000
1605105772944603904,10.0.1.131,46,place,-0.060,-0.060,-0.060,0.000,0.000,0.000
1605105773949982976,10.0.1.131,50,place,-0.050,-0.050,-0.050,0.000,0.000,0.000
1605105774966679040,10.0.1.131,55,place,-0.040,-0.040,-0.040,0.000,0.000,0.000
