timestamp,cpu,ram,tx_bytes,rx_bytes
1605117242617871348,1.6,7.9,296778793230,143548416707
1605117244452317011,5.6,7.9,296778793785,143548419181
1605117246313812379,6.1,7.9,296778794562,143548421718
1605117248179121638,6.8,7.9,296778795287,143548424588
1605117250046972121,6.7,7.9,296778795763,143548427094
1605117251916484810,6.6,7.8,296778796652,143548429419
1605117253775006612,6.5,7.9,296778797950,143548432581
1605117255637672061,6.4,7.9,296778798952,143548435823
1605117257488843229,6.4,7.8,296778799487,143548438025
1605117259349274051,6.3,7.8,296778801824,143548442394
1605117261186497253,6.6,7.9,296778803433,143548445491
1605117263017391263,6.6,7.9,296778804104,143548448371
1605117264872699647,6.5,7.8,296778804650,143548450889
1605117267689493416,6.4,8.6,296778814478,143548466947
1605117270969181768,8.2,11.1,296778821153,143548475994
1605117274330634782,34.9,10.8,296778930532,143548510923
1605117276916465871,72.5,16.3,296779401902,143549079750
1605117278967411707,68.4,16.1,296779427613,143549158550
1605117281018032401,49.9,16.2,296779453465,143549237293
1605117283063472481,40.4,16.2,296779478619,143549314249
1605117285105122122,34.8,16.2,296779504098,143549392865
1605117287152353896,31.0,16.2,296779529973,143549470883
1605117289206528075,28.1,16.2,296779557984,143549551703
1605117291303396211,26.0,16.1,296779588079,143549636238
1605117293395256515,24.3,16.2,296779618088,143549720364
1605117295460297454,22.1,16.2,296779644033,143549798773
1605117297503495736,21.0,16.1,296779703028,143549884841
1605117299553533171,20.3,16.2,296779777417,143549971751
1605117301631372054,19.6,16.1,296779850813,143550058766
1605117303700460774,19.1,16.2,296780065484,143550258244
1605117305771115500,18.6,16.1,296780301159,143550427028
1605117307803061976,18.2,16.2,296780467600,143550529606
1605117309853535918,17.7,16.2,296780637099,143550632762
1605117311905753824,17.2,16.2,296780804993,143550735959
1605117313975974109,16.9,16.2,296780976363,143550841256
1605117316074276077,16.6,16.2,296781156977,143550952682
1605117318178382419,16.6,16.2,296781333321,143551062773
1605117320249243780,16.2,16.2,296781502694,143551170576
1605117322292819836,16.0,16.2,296781669324,143551273400
1605117324331627813,15.8,16.1,296781828587,143551375022
1605117326416421219,15.6,16.1,296782011434,143551482326
1605117328499863487,15.1,16.1,296782215285,143551602410
1605117330548233259,15.1,16.1,296782404549,143551715565
1605117332619641253,14.9,16.1,296782627678,143551842907
1605117334678432523,14.8,16.1,296782840634,143551958708
1605117336747179823,14.8,16.2,296783068578,143552083858
1605117338802690093,14.7,16.1,296783273842,143552200897
1605117340884456698,14.5,16.1,296783502372,143552324526
1605117342922538735,14.5,15.5,296783704654,143552443428
1605117344934517742,14.3,15.5,296783900742,143552556189
1605117346974384549,14.3,15.5,296784130322,143552680875
1605117349030758130,14.2,15.5,296784336116,143552798171
1605117351051670581,14.1,15.6,296784560260,143552919865
1605117353087697212,14.1,15.5,296784767309,143553037106
1605117355119048797,14.0,15.6,296784976419,143553152503
1605117357170435665,14.1,15.5,296785194467,143553276738
1605117359206259588,13.9,15.6,296785400423,143553392450
1605117361275241819,13.8,15.6,296785630660,143553518602
1605117363317062577,13.8,15.5,296785829868,143553633750
1605117365332503001,13.8,15.5,296786053347,143553758057
1605117367351644210,13.8,15.6,296786261253,143553877232
1605117369386816628,13.8,15.6,296786432058,143553980640
1605117371411119308,13.3,15.6,296786606958,143554083969
1605117373430546534,13.3,15.6,296786765531,143554184095
1605117375457097544,13.3,15.5,296786933365,143554286262
1605117377486993328,13.4,15.6,296787098688,143554386570
1605117379490361564,13.3,15.6,296787262724,143554489221
1605117381520376465,13.2,15.5,296787425798,143554591798
1605117383521434205,13.2,15.5,296787588668,143554691294
1605117385550758165,13.2,15.5,296787748516,143554792209
1605117387591521107,13.2,15.6,296787933168,143554903846
1605117389694058784,13.0,15.5,296788121516,143555018590
1605117391743378189,13.1,15.5,296788348364,143555143209
1605117393783736926,13.1,15.5,296788544285,143555255776
1605117395835269693,13.1,15.6,296788766146,143555381343
