timestamp,cpu,ram,tx_bytes,rx_bytes
1605182678731310976,28.28,35.1781,333266687306,165457368150
1605182679144160523,28.28,35.1857,333266687372,165457368607
1605182679557311579,29,35.1797,333266687567,165457369335
1605182679970635491,15.84,35.1897,333266688290,165457370650
1605182680383520380,15.84,35.1891,333266688290,165457371004
1605182680796847530,8,35.1904,333266688376,165457371272
1605182681209901434,8,35.1828,333266688462,165457371547
1605182681622716569,7.07,35.1914,333266688836,165457372483
1605182682035492357,6.12,35.1936,333266688929,165457372662
1605182682448111255,6.12,35.1936,333266688929,165457373198
1605182682861422238,7.92,35.1859,333266689465,165457373827
1605182683274679835,7.92,35.1877,333266689567,165457374105
1605182683692678430,5.05,35.1893,333266689726,165457374711
1605182684106334061,5.05,35.192,333266689819,165457375168
1605182684519079410,7,35.1844,333266690834,165457376538
1605182684931765448,11,35.1928,333266691055,165457377243
1605182685344336162,11,35.1891,333266691157,165457377981
1605182685757334475,7,35.1889,333266692179,165457379574
1605182686170503022,7,35.201,333266692245,165457379667
1605182686583924645,8,35.1963,333266692245,165457380263
1605182686997715298,8,35.2023,333266692347,165457380710
1605182687411006211,8,35.2084,333266692535,165457381428
1605182687823680576,6.06,35.2193,333266692628,165457382048
1605182688236243502,6.06,35.2279,333266693230,165457382738
1605182688657562828,7.07,35.2979,333266693409,165457383296
1605182689072929323,8.08,35.2426,333266695535,165457385693
1605182689486079473,8.08,35.242,333266695687,165457386593
1605182689899529772,13.13,35.1877,333266695780,165457387028
1605182690312232979,13.13,35.1861,333266695882,165457387356
1605182690732701925,8.16,35.1701,333266695882,165457387892
1605182691145695206,7,35.1859,333266695968,165457388167
1605182691558157657,6.06,35.192,333266696163,165457388773
1605182691971529874,8.91,35.1844,333266696342,165457389944
1605182692384013094,8.91,35.185,333266696342,165457390298
1605182692800518202,6,35.1824,333266696892,165457390841
1605182693217164133,6,35.1844,333266697060,165457391212
1605182693630722444,9,35.1828,333266697239,165457392218
1605182694043134205,8.08,35.1814,333266697434,165457392407
1605182694456514356,8.08,35.1828,333266697434,165457392579
1605182694870315999,11,35.1893,333266697520,165457393208
1605182695283550550,11,35.1816,333266697520,165457393486
1605182695696280710,10.2,35.1813,333266697894,165457394230
1605182696108666318,7.07,35.1813,333266698073,165457394601
1605182696521207567,7.07,35.1813,333266698073,165457394955
1605182696933860510,7,35.1797,333266698175,165457395402
1605182697347796496,7,35.1906,333266699125,165457396778
1605182697760773509,8,35.1891,333266699713,165457397755
1605182698173430140,7.07,35.1875,333266699779,165457397848
1605182698586361033,6.06,35.1875,333266699779,165457398384
1605182698999172886,7.07,35.1922,333266699881,165457398831
1605182699411865741,7.07,35.1861,333266699983,165457399387
1605182699824303037,8.08,35.1863,333266700162,165457400115
1605182700239093056,8.08,35.1803,333266700357,165457400658
1605182700652334724,9,35.1863,333266700443,165457401174
1605182701064916048,7,35.1859,333266700536,165457401267
1605182701477538594,7,35.1844,333266700638,165457401889
1605182701889999139,8,35.1844,333266700731,165457402506
1605182702316048354,8,35.5557,333266703491,165457406324
1605182702732550463,39.39,36.5298,333266705720,165457407428
1605182703153980220,53,37.9751,333266710026,165457415933
1605182703576742597,53,38.0505,333266713194,165457419308
1605182703999781578,68,36.6496,333266715028,165457422338
1605182704423247738,68,38.6979,333266716094,165457424159
1605182704847377549,66.33,36.8402,333266716837,165457426149
1605182705282407347,66.33,37.3888,333266717936,165457427457
1605182705705740560,91.92,38.0968,333266721856,165457430899
1605182706129773572,100,37.6616,333266721922,165457431174
1605182706553821624,100,37.7685,333266807363,165457440986
1605182706977721514,93.14,37.7839,333266807456,165457441251
1605182707401749790,93.14,39.8682,333266807644,165457441903
1605182707823134938,100,40.0104,333266823449,165457457022
1605182708248892600,100,40.1102,333266852120,165457494086
1605182708678082505,95.96,40.403,333266903170,165457565789
1605182709096377163,86.87,40.5266,333267080110,165457767714
1605182709521605635,86.87,40.5477,333267186613,165457886033
1605182709937542163,33.67,40.567,333267300017,165458005334
1605182710352045926,33.67,40.5672,333267305353,165458021354
1605182710765629374,13.4,40.5639,333267310497,165458036586
1605182711179773802,11.34,40.5654,333267315703,165458052345
1605182711593465070,11.34,40.5656,333267320893,165458068385
1605182712006503326,10.2,40.567,333267325867,165458083580
1605182712420439944,10.2,40.567,333267330739,165458099600
1605182712834713808,8.33,40.5641,333267336783,165458115862
1605182713248110216,8.33,40.566,333267341757,165458131175
1605182713661574422,8.33,40.5723,333267347047,165458147387
1605182714074897150,9.28,40.5686,333267352339,165458163060
1605182714488314125,9.28,40.5639,333267358230,165458179870
1605182714902668251,6.32,40.5762,333267363436,165458194895
1605182715316462355,6.32,40.567,333267368540,165458211203
1605182715730290768,12.24,40.5744,333267376853,165458229414
1605182716143952685,13.4,40.5697,333267381913,165458244545
1605182716557325025,13.4,40.5666,333267387203,165458260829
1605182716970228998,7.22,40.5778,333267392177,165458276578
1605182717383638182,7.22,40.5707,333267397281,165458291858
1605182717797429647,6.32,40.5733,333267402478,165458307910
1605182718210580356,9.38,40.5746,333267407951,165458324168
1605182718624280603,9.38,40.5715,333267413055,165458340152
1605182719038097960,6.32,40.5668,333267421325,165458358915
1605182719451613323,6.32,40.5731,333267426522,165458375081
1605182719865199656,7.37,40.5838,333267431596,165458390614
1605182720278490579,7.37,40.5733,333267436686,165458406390
1605182720691725386,7.37,40.5701,333267441883,165458422512
1605182721105048539,15.15,40.5824,333267446857,165458437727
1605182721518648863,15.15,40.5746,333267452047,165458453645
1605182721935167185,10.42,40.5715,333267457346,165458469908
1605182722351230880,7.37,40.5762,333267462450,165458485624
1605182722764409852,7.22,40.5731,333267468073,165458501454
1605182723178137854,8.33,40.5793,333267473279,165458517273
1605182723591345435,8.33,40.5746,333267478383,165458533307
1605182724004301077,8.16,40.5776,333267483443,165458548840
1605182724417906523,8.16,40.5762,333267488640,165458564720
1605182724831290777,8.16,40.5731,333267493830,165458580714
1605182725244930254,11.34,40.5717,333267499006,165458596505
1605182725658412744,11.34,40.5686,333267504203,165458612369
1605182726073251980,9.47,40.5988,333267512750,165458631713
1605182726486299199,9.47,40.6063,333267517843,165458646929
1605182726899755150,10.31,40.6262,333267523597,165458663408
1605182727314490360,9.28,40.643,333267530929,165458681608
1605182727727905820,9.28,40.608,333267538609,165458700568
1605182728141609426,14.43,40.6049,333267544471,165458716181
1605182728555335991,14.43,40.6063,333267549693,165458732363
1605182728970169376,10.42,40.6031,333267555196,165458748654
1605182729386203021,12.24,40.6006,333267560256,165458763950
1605182729799973219,10.2,40.6035,333267565773,165458780420
1605182730214809102,8.33,40.6022,333267572571,165458798076
1605182730629768956,8.33,40.5959,333267590941,165458816789
1605182731045191571,17,40.6078,333267605735,165458834434
1605182731458997785,17,40.602,333267619993,165458852188
1605182731872830300,13.54,40.6067,333267634337,165458869056
1605182732287164196,11.46,40.5949,333267651193,165458888295
1605182732700228059,11.46,40.6051,333267667090,165458907524
1605182733113699992,12.12,40.5988,333267682314,165458926057
1605182733527452738,12.12,40.6035,333267701232,165458947179
1605182733941382434,10.31,40.6082,333267717883,165458964722
1605182734355539142,10.31,40.6035,333267733315,165458982360
1605182734769454612,10.31,40.6022,333267747620,165458999110
1605182735182652575,12.12,40.5914,333267761464,165459016273
1605182735595832499,12.12,40.6022,333267778971,165459037107
1605182736010144279,13.13,40.5975,333267795787,165459055020
1605182736423279582,29.29,40.5975,333267836969,165459085256
1605182736836798006,32.04,40.6057,333267909661,165459157509
1605182737252329810,17.65,40.6195,333267984209,165459225711
1605182737665566345,17.65,40.6125,333268071785,165459296407
1605182738079128223,12.24,40.6209,333268112954,165459324488
1605182738492984962,12.24,40.6209,333268157893,165459347262
1605182738907244355,10.31,40.618,333268190934,165459368793
1605182739320830559,13.4,40.6135,333268229336,165459390723
1605182739734589816,13.4,40.609,333268263368,165459412029
1605182740148041815,9.28,40.6149,333268294392,165459434137
1605182740562285714,9.28,40.6104,333268336856,165459455443
1605182740975815722,11.34,40.6071,333268368227,165459476156
1605182741389166558,17.89,40.6135,333268403517,165459497290
1605182741801989637,17.89,40.6151,333268446117,165459519516
1605182742215904326,7.53,40.6088,333268477541,165459540257
1605182742629403589,7.53,40.6088,333268517130,165459562734
1605182743043216393,10.42,40.6131,333268558324,165459583897
1605182743456948017,12.24,40.6135,333268590660,165459605215
1605182743877153969,12.24,40.6059,333268622812,165459626532
1605182744290658729,9.47,40.609,333268664514,165459649534
1605182744704056874,9.47,40.6102,333268704869,165459671354
1605182745117426419,9.47,40.6117,333268742631,165459693615
1605182745532625929,9.47,40.6209,333268784351,165459715229
1605182745946392299,8.42,40.6225,333268822907,165459737299
1605182746360432592,15.79,40.6074,333268857205,165459758427
1605182746775128650,15.79,40.6201,333268893781,165459779977
1605182747189128333,10.2,40.6307,333268925243,165459800668
1605182747603444525,10.2,40.6338,333268958582,165459821222
1605182748017675746,9.28,40.6199,333268989904,165459841957
1605182748431669485,9.38,40.6406,333269025651,165459863323
1605182748847646559,9.38,40.643,333269063406,165459887656
1605182749262999167,19,40.5862,333269102659,165459913101
1605182749676848166,19,40.5783,333269137672,165459935237
1605182750090908534,13.27,40.5815,333269169700,165459955908
1605182750504405843,12.24,40.5906,333269203209,165459978108
1605182750938308047,12.12,40.5729,333269243406,165460002848
1605182751355599502,17.17,40.5678,333269276940,165460026062
1605182751769186845,17.17,40.5875,333269309692,165460047199
1605182752186932975,11.22,40.5967,333269345680,165460067564
1605182752600913792,11.22,40.5783,333269376592,165460088801
1605182753014745903,11.34,40.5875,333269408588,165460109402
1605182753427763799,12.37,40.5891,333269441340,165460130466
1605182753841339693,12.37,40.5922,333269472762,165460150496
1605182754255387186,9.28,40.5664,333269507636,165460171363
1605182754668646042,9.28,40.5877,333269542848,165460192487
1605182755083146292,9.38,40.5936,333269575702,165460212278
1605182755496180998,7.45,40.5813,333269607952,165460232698
1605182755910498326,7.45,40.5828,333269642346,165460254395
1605182756324466820,13.4,40.5846,333269674952,165460274361
1605182756737602767,13.4,40.5844,333269706149,165460294875
1605182757159001050,10.31,40.5842,333269742554,165460316161
1605182757574285583,10.2,40.5701,333269774634,165460336863
1605182757987021303,11.11,40.5709,333269809570,165460357142
1605182758400206289,13.27,40.5662,333269841518,165460377670
1605182758813886361,13.27,40.568,333269875478,165460398614
1605182759227024344,11,40.5776,333269909392,165460418633
1605182759642303254,11,40.5586,333269946136,165460439407
1605182760056462415,9.18,40.5754,333269977598,165460460102
1605182760470165412,11.34,40.5959,333270032055,165460484544
1605182760885620304,11.34,40.6028,333270069373,165460511063
1605182761298719791,20.75,40.5965,333270098747,165460531577
1605182761712699376,20.75,40.5985,333270134457,165460552483
1605182762125600189,16.83,40.6065,333270187238,165460580894
1605182762539386327,14,40.6194,333270226532,165460603734
1605182762952610984,14,40.6192,333270264142,165460625089
1605182763366771873,8.42,40.611,333270317895,165460650711
1605182763779804987,8.42,40.6465,333270361507,165460680614
1605182764194954449,15,40.6496,333270394207,165460701615
1605182764614308079,17.48,40.616,333270431280,165460722301
1605182765028167539,17.82,40.6012,333270487131,165460753333
1605182765441825106,16.49,40.5848,333270524043,165460773965
1605182765856429511,16.49,40.5996,333270561284,165460796009
1605182766270192131,12.24,40.6051,333270615681,165460824958
1605182766683601770,12.24,40.6026,333270654235,165460849740
1605182767097103981,18.1,40.5965,333270687800,165460869902
1605182767511476343,19.63,40.5981,333270745075,165460896362
1605182767925882879,19.63,40.5936,333270787905,165460923003
1605182768339268283,13.13,40.6008,333270827341,165460944381
1605182768753332644,13.13,40.5871,333270865813,165460966630
1605182769167487709,16,40.5969,333270922867,165460994820
1605182769581160401,16.83,40.5922,333270967537,165461019589
1605182769994207454,16.83,40.6012,333271003046,165461040538
1605182770407177125,19.27,40.6035,333271060485,165461068349
