timestamp,node,latency,action,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1605220925857363968,10.0.1.146,NaN,,0.000,0.000,0.000,0.000,0.000,0.000
1605220929859960064,10.0.1.146,NaN,move_down,-0.020,-0.020,-0.020,0.000,0.000,0.000
1605220932342649088,10.0.1.146,NaN,move_down,-0.040,-0.040,-0.040,0.000,0.000,0.000
1605220934491632896,10.0.1.146,NaN,move_down,-0.060,-0.060,-0.060,0.000,0.000,0.000
1605220936525615104,10.0.1.146,NaN,move_down,-0.080,-0.080,-0.080,0.000,0.000,0.000
1605220938596480000,10.0.1.146,NaN,move_down,-0.100,-0.100,-0.100,0.000,0.000,0.000
1605220940687879936,10.0.1.146,NaN,move_down,-0.120,-0.120,-0.120,0.000,0.000,0.000
1605220942768750080,10.0.1.146,NaN,move_down,-0.140,-0.140,-0.140,0.000,0.000,0.000
1605220944908410112,10.0.1.146,NaN,move_down,-0.160,-0.160,-0.160,0.000,0.000,0.000
1605220948247776000,10.0.1.146,3339,move_down,-0.160,-0.160,-0.160,0.000,0.000,0.000
1605220950162432000,10.0.1.146,676,move_down,-0.180,-0.180,-0.180,0.000,0.000,0.000
1605220952514642944,10.0.1.146,1120,move_down,-0.200,-0.200,-0.200,0.000,0.000,0.000
1605220954444641024,10.0.1.146,866,move_down,-0.220,-0.220,-0.220,0.000,0.000,0.000
1605220956452467968,10.0.1.146,932,move_down,-0.240,-0.240,-0.240,0.000,0.000,0.000
1605220958504548096,10.0.1.146,719,move_down,-0.260,-0.260,-0.260,0.000,0.000,0.000
1605220960369275136,10.0.1.146,749,move_down,-0.280,-0.280,-0.280,0.000,0.000,0.000
1605220962078027008,10.0.1.146,701,move_down,-0.300,-0.300,-0.300,0.000,0.000,0.000
1605220965289547008,10.0.1.146,1362,move_down,-0.320,-0.320,-0.320,0.000,0.000,0.000
1605220966952684032,10.0.1.146,561,move_down,-0.340,-0.340,-0.340,0.000,0.000,0.000
1605220968806765056,10.0.1.146,786,move_down,-0.360,-0.360,-0.360,0.000,0.000,0.000
1605220970757186048,10.0.1.146,880,move_down,-0.380,-0.380,-0.380,0.000,0.000,0.000
1605220973349986048,10.0.1.146,1529,move_down,-0.400,-0.400,-0.400,0.000,0.000,0.000
1605220975085051136,10.0.1.146,719,move_down,-0.420,-0.420,-0.420,0.000,0.000,0.000
1605220977135162112,10.0.1.146,888,move_down,-0.440,-0.440,-0.440,0.000,0.000,0.000
1605220978896651008,10.0.1.146,596,move_down,-0.460,-0.460,-0.460,0.000,0.000,0.000
1605220980900804096,10.0.1.146,867,move_down,-0.480,-0.480,-0.480,0.000,0.000,0.000
1605220982948379136,10.0.1.146,916,move_down,-0.500,-0.500,-0.500,0.000,0.000,0.000
1605220984940964864,10.0.1.146,840,move_down,-0.520,-0.520,-0.520,0.000,0.000,0.000
1605220987011610112,10.0.1.146,860,move_down,-0.540,-0.540,-0.540,0.000,0.000,0.000
1605220989011034880,10.0.1.146,731,move_down,-0.560,-0.560,-0.560,0.000,0.000,0.000
1605220991129942016,10.0.1.146,1030,move_down,-0.580,-0.580,-0.580,0.000,0.000,0.000
1605220993294277888,10.0.1.146,1112,move_down,-0.600,-0.600,-0.600,0.000,0.000,0.000
1605220995212923904,10.0.1.146,829,move_down,-0.620,-0.620,-0.620,0.000,0.000,0.000
1605220996965400832,10.0.1.146,724,move_down,-0.640,-0.640,-0.640,0.000,0.000,0.000
1605220998585899008,10.0.1.146,568,move_down,-0.660,-0.660,-0.660,0.000,0.000,0.000
1605221000591151104,10.0.1.146,914,move_down,-0.680,-0.680,-0.680,0.000,0.000,0.000
1605221002294200832,10.0.1.146,714,move_down,-0.700,-0.700,-0.700,0.000,0.000,0.000
1605221004103741952,10.0.1.146,630,move_down,-0.720,-0.720,-0.720,0.000,0.000,0.000
1605221005518942208,10.0.1.146,95,pick,-0.730,-0.730,-0.730,0.000,0.000,0.000
1605221007425473024,10.0.1.146,NaN,pick,-0.750,-0.750,-0.750,0.000,0.000,0.000
1605221007490808064,10.0.1.146,65,pick,-0.750,-0.750,-0.750,0.000,0.000,0.000
1605221009431550976,10.0.1.146,NaN,pick,-0.770,-0.770,-0.770,0.000,0.000,0.000
1605221010433020160,10.0.1.146,NaN,pick,-0.780,-0.780,-0.780,0.000,0.000,0.000
1605221010543973888,10.0.1.146,110,pick,-0.780,-0.780,-0.780,0.000,0.000,0.000
1605221012435873024,10.0.1.146,NaN,pick,-0.800,-0.800,-0.800,0.000,0.000,0.000
1605221012493854976,10.0.1.146,57,pick,-0.800,-0.800,-0.800,0.000,0.000,0.000
1605221013543329024,10.0.1.146,103,pick,-0.810,-0.810,-0.810,0.000,0.000,0.000
1605221014582148096,10.0.1.146,140,pick,-0.820,-0.820,-0.820,0.000,0.000,0.000
1605221015494884096,10.0.1.146,43,pick,-0.830,-0.830,-0.830,0.000,0.000,0.000
1605221016523757056,10.0.1.146,69,pick,-0.840,-0.840,-0.840,0.000,0.000,0.000
1605221018456877056,10.0.1.146,NaN,pick,-0.860,-0.860,-0.860,0.000,0.000,0.000
1605221018570606080,10.0.1.146,113,pick,-0.860,-0.860,-0.860,0.000,0.000,0.000
1605221019511534848,10.0.1.146,53,pick,-0.870,-0.870,-0.870,0.000,0.000,0.000
1605221020536833024,10.0.1.146,65,pick,-0.880,-0.880,-0.880,0.000,0.000,0.000
1605221021535099136,10.0.1.146,61,pick,-0.890,-0.890,-0.890,0.000,0.000,0.000
1605221022514190080,10.0.1.146,36,pick,-0.900,-0.900,-0.900,0.000,0.000,0.000
1605221023569158912,10.0.1.146,89,pick,-0.910,-0.910,-0.910,0.000,0.000,0.000
1605221025936350208,10.0.1.146,1455,move_up,-0.890,-0.890,-0.890,0.000,0.000,0.000
1605221027628120064,10.0.1.146,677,move_up,-0.870,-0.870,-0.870,0.000,0.000,0.000
1605221030082243840,10.0.1.146,1219,move_up,-0.850,-0.850,-0.850,0.000,0.000,0.000
1605221032328686848,10.0.1.146,1215,move_up,-0.830,-0.830,-0.830,0.000,0.000,0.000
1605221034200993024,10.0.1.146,801,move_up,-0.810,-0.810,-0.810,0.000,0.000,0.000
1605221037007571968,10.0.1.146,622,move_up,-0.790,-0.790,-0.790,0.000,0.000,0.000
1605221038920584960,10.0.1.146,783,move_up,-0.770,-0.770,-0.770,0.000,0.000,0.000
1605221040758603008,10.0.1.146,752,move_up,-0.750,-0.750,-0.750,0.000,0.000,0.000
1605221042670632960,10.0.1.146,799,move_up,-0.730,-0.730,-0.730,0.000,0.000,0.000
1605221044594544896,10.0.1.146,802,move_up,-0.710,-0.710,-0.710,0.000,0.000,0.000
1605221046493347840,10.0.1.146,796,move_up,-0.690,-0.690,-0.690,0.000,0.000,0.000
1605221048292218880,10.0.1.146,724,move_up,-0.670,-0.670,-0.670,0.000,0.000,0.000
1605221050155271168,10.0.1.146,819,move_up,-0.650,-0.650,-0.650,0.000,0.000,0.000
1605221052193378816,10.0.1.146,944,move_up,-0.630,-0.630,-0.630,0.000,0.000,0.000
1605221053979173888,10.0.1.146,704,move_up,-0.610,-0.610,-0.610,0.000,0.000,0.000
1605221056002396160,10.0.1.146,927,move_up,-0.590,-0.590,-0.590,0.000,0.000,0.000
1605221057834130176,10.0.1.146,758,move_up,-0.570,-0.570,-0.570,0.000,0.000,0.000
1605221059950715904,10.0.1.146,697,move_up,-0.550,-0.550,-0.550,0.000,0.000,0.000
1605221061800183040,10.0.1.146,796,move_up,-0.530,-0.530,-0.530,0.000,0.000,0.000
1605221063791891200,10.0.1.146,804,move_up,-0.510,-0.510,-0.510,0.000,0.000,0.000
1605221065948666112,10.0.1.146,1079,move_up,-0.490,-0.490,-0.490,0.000,0.000,0.000
1605221067817105152,10.0.1.146,674,move_up,-0.470,-0.470,-0.470,0.000,0.000,0.000
1605221069889924096,10.0.1.146,785,move_up,-0.450,-0.450,-0.450,0.000,0.000,0.000
1605221072842725888,10.0.1.146,725,move_up,-0.430,-0.430,-0.430,0.000,0.000,0.000
1605221074788553984,10.0.1.146,569,move_up,-0.410,-0.410,-0.410,0.000,0.000,0.000
1605221076979161088,10.0.1.146,1099,move_up,-0.390,-0.390,-0.390,0.000,0.000,0.000
1605221078961060096,10.0.1.146,845,move_up,-0.370,-0.370,-0.370,0.000,0.000,0.000
1605221080705150976,10.0.1.146,663,move_up,-0.350,-0.350,-0.350,0.000,0.000,0.000
1605221082779766016,10.0.1.146,975,move_up,-0.330,-0.330,-0.330,0.000,0.000,0.000
1605221083907131904,10.0.1.146,51,place,-0.320,-0.320,-0.320,0.000,0.000,0.000
1605221084921370880,10.0.1.146,64,place,-0.310,-0.310,-0.310,0.000,0.000,0.000
1605221085923933952,10.0.1.146,57,place,-0.300,-0.300,-0.300,0.000,0.000,0.000
1605221086942902016,10.0.1.146,74,place,-0.290,-0.290,-0.290,0.000,0.000,0.000
1605221087925022976,10.0.1.146,55,place,-0.280,-0.280,-0.280,0.000,0.000,0.000
1605221088927897856,10.0.1.146,52,place,-0.270,-0.270,-0.270,0.000,0.000,0.000
1605221090879847936,10.0.1.146,NaN,place,-0.250,-0.250,-0.250,0.000,0.000,0.000
1605221090929191168,10.0.1.146,49,place,-0.250,-0.250,-0.250,0.000,0.000,0.000
1605221092882745856,10.0.1.146,NaN,place,-0.230,-0.230,-0.230,0.000,0.000,0.000
1605221092932871936,10.0.1.146,50,place,-0.230,-0.230,-0.230,0.000,0.000,0.000
1605221093923955968,10.0.1.146,36,place,-0.220,-0.220,-0.220,0.000,0.000,0.000
1605221094947174144,10.0.1.146,53,place,-0.210,-0.210,-0.210,0.000,0.000,0.000
1605221096900320000,10.0.1.146,NaN,place,-0.190,-0.190,-0.190,0.000,0.000,0.000
1605221097903907072,10.0.1.146,NaN,place,-0.180,-0.180,-0.180,0.000,0.000,0.000
1605221097972506112,10.0.1.146,67,place,-0.180,-0.180,-0.180,0.000,0.000,0.000
1605221098940506880,10.0.1.146,33,place,-0.170,-0.170,-0.170,0.000,0.000,0.000
1605221099968545792,10.0.1.146,60,place,-0.160,-0.160,-0.160,0.000,0.000,0.000
1605221101909272064,10.0.1.146,NaN,place,-0.140,-0.140,-0.140,0.000,0.000,0.000
1605221101942786816,10.0.1.146,33,place,-0.140,-0.140,-0.140,0.000,0.000,0.000
1605221103552804864,10.0.1.146,636,move_down,-0.160,-0.160,-0.160,0.000,0.000,0.000
1605221108173849088,10.0.1.146,518,move_down,-0.180,-0.180,-0.180,0.000,0.000,0.000
1605221109986441984,10.0.1.146,721,move_down,-0.200,-0.200,-0.200,0.000,0.000,0.000
1605221112718966016,10.0.1.146,927,move_down,-0.220,-0.220,-0.220,0.000,0.000,0.000
1605221115327290112,10.0.1.146,1575,move_down,-0.240,-0.240,-0.240,0.000,0.000,0.000
1605221117157577984,10.0.1.146,722,move_down,-0.260,-0.260,-0.260,0.000,0.000,0.000
1605221119262839040,10.0.1.146,945,move_down,-0.280,-0.280,-0.280,0.000,0.000,0.000
1605221121564862976,10.0.1.146,1199,move_down,-0.300,-0.300,-0.300,0.000,0.000,0.000
1605221124302598912,10.0.1.146,1591,move_down,-0.320,-0.320,-0.320,0.000,0.000,0.000
1605221126486797056,10.0.1.146,1099,move_down,-0.340,-0.340,-0.340,0.000,0.000,0.000
1605221128576282112,10.0.1.146,806,move_down,-0.360,-0.360,-0.360,0.000,0.000,0.000
1605221130403664128,10.0.1.146,690,move_down,-0.380,-0.380,-0.380,0.000,0.000,0.000
1605221136419451904,10.0.1.146,1028,move_down,-0.400,-0.400,-0.400,0.000,0.000,0.000
